year,month,location,address,a_d_classification,car_sedan,car_van,car_twowheels,car_special,car_truck,year_month
2019,3,동작대로,서울 동작구 사당2동 739 이수역 북단 버스중앙차로,11200,93597.0,3416.0,15046.0,380.0,8919.0,2019_3
2019,3,마포구,서울 마포구 포은로 6길 10 망원1동주민센터 옥상,11140,101068.0,4325.0,17016.0,244.0,12162.0,2019_3
2019,3,북한산,서울 강북구 삼양로 181길 387 (우이령 전경대 위),11090,63640.0,3976.0,21699.0,158.0,9331.0,2019_3
2019,3,서대문구,서울 서대문구 세검정로4길 32 (홍제3동 주민센터) ,11130,75126.0,3416.0,14891.0,317.0,8679.0,2019_3
2019,3,서초구,서울 서초구 신반포로15길 16 반포 2동 주민센터,11220,159626.0,5135.0,12879.0,344.0,17066.0,2019_3
2019,3,성동구,서울 성동구 뚝섬로3길 18 성수1가1동주민센터,11040,89425.0,4391.0,20470.0,177.0,11140.0,2019_3
2019,3,성북구,서울 성북구 삼양로2길 70 길음2동 주민센터,11080,100888.0,5248.0,26244.0,159.0,11098.0,2019_3
2019,3,세곡,서울 강남구 밤고개로 337 (세곡사거리),11230,211513.0,6281.0,16772.0,404.0,16428.0,2019_3
2019,3,송파구,서울 송파구 백제고분로 236 삼전동 주민센터 (삼전동),11240,206038.0,7266.0,19760.0,404.0,26850.0,2019_3
2019,3,시흥대로,서울 금천구 독산동 996-9 한양수자인아파트 앞,11180,69262.0,4430.0,11480.0,158.0,13486.0,2019_3
2019,3,신촌로,서울 마포구 노고산동 57-62 (신촌역 7번 출구),11140,101068.0,4325.0,17016.0,244.0,12162.0,2019_3
2019,3,양천구,서울 양천구 중앙로52길 56 신정4동 문화센터,11150,128981.0,5202.0,18567.0,553.0,15649.0,2019_3
2019,3,영등포구,서울 영등포구 당산로 123 영등포구청 (당산동3가),11190,117011.0,5357.0,16268.0,1163.0,19618.0,2019_3
2019,3,영등포로,서울 영등포구 영중로 37 (영등포시장사거리),11190,117011.0,5357.0,16268.0,1163.0,19618.0,2019_3
2019,3,용산구,서울 용산구 이태원로 224-19 (한남동) 한남로 복합문화센터,11030,67567.0,2542.0,16019.0,135.0,7073.0,2019_3
2019,3,은평구,서울 은평구 진흥로 215 (한국환경산업기술원 온실동2층 ),11120,111463.0,5344.0,20883.0,263.0,13405.0,2019_3
2019,3,정릉로,서울 성북구 돈암동 8-164번지 ,11080,100888.0,5248.0,26244.0,159.0,11098.0,2019_3
2019,3,종로,서울 종로구 종로 169 (종묘주차장 앞),11010,40992.0,3878.0,13100.0,183.0,5279.0,2019_3
2019,3,종로구,"서울 종로구 종로35가길 19 종로5,6가 동 주민센터",11010,40992.0,3878.0,13100.0,183.0,5279.0,2019_3
2019,3,중구,서울 중구 덕수궁길 15 시청서소문별관 3동,11020,40996.0,3348.0,14609.0,219.0,7213.0,2019_3
2019,3,중랑구,서울 중랑구 용마산로 369 건강가정지원센터,11070,93182.0,4878.0,24121.0,413.0,15552.0,2019_3
2019,3,천호대로,서울 강동구 천호대로 1151 길동사거리 강동성모요양병원 앞),11250,114802.0,4778.0,16283.0,293.0,15462.0,2019_3
2019,3,청계천로,서울 중구 청계천로 184 (청계천4가사거리 남강빌딩 앞),11020,40996.0,3348.0,14609.0,219.0,7213.0,2019_3
2019,3,한강대로,서울 용산구 한강대로 405 (서울역 앞),11030,67567.0,2542.0,16019.0,135.0,7073.0,2019_3
2019,3,행주,김포시 고촌읍 은행영사정로 197 (신곡수중보 관리사무소),31230,0.0,0.0,0.0,0.0,0.0,2019_3
2019,3,홍릉로,서울 동대문구 홍릉로 1 (청량리전철역 사거리 SC제일은행 앞),11060,81064.0,3855.0,23608.0,171.0,13113.0,2019_3
2019,3,화랑로,서울 노원구 화랑로 429 태능입구역 8번 출구,11110,133918.0,5771.0,14866.0,351.0,13550.0,2019_3
2019,4,강남구,서울 강남구 학동로 426 강남구청 별관 1동,11230,211376.0,6201.0,16772.0,400.0,16349.0,2019_4
2019,4,강남대로,서울 서초구 강남대로 201 서초구민회관 앞 중앙차로 (양재동),11220,159708.0,5089.0,12750.0,348.0,17027.0,2019_4
2019,4,강동구,서울 강동구 구천면로 42길 59 천호1동 주민센터,11250,114561.0,4739.0,16335.0,295.0,15423.0,2019_4
2019,4,강변북로,서울 성동구 강변북로 257 한강사업본부 옆,11040,89505.0,4600.0,20443.0,180.0,11136.0,2019_4
2019,4,강북구,서울 강북구 삼양로 139길 49 우이동 주민센터,11090,63461.0,3943.0,21736.0,160.0,9285.0,2019_4
2019,4,강서구,서울 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관,11160,173698.0,7709.0,18637.0,422.0,21608.0,2019_4
2019,4,공항대로,서울 강서구 마곡동 727-1091 마곡역 중앙차로정류장 옆,11160,173698.0,7709.0,18637.0,422.0,21608.0,2019_4
2019,4,관악구,서울 관악구 신림동길 14 신림동 주민센터,11210,103197.0,4745.0,24366.0,260.0,12595.0,2019_4
2019,4,관악산,과천시 자하동길 64 (관악산 중계소),31110,0.0,0.0,0.0,0.0,0.0,2019_4
2019,4,광진구,서울 광진구 광나루로 571 구의 아리수정수센터,11050,83567.0,3441.0,18223.0,285.0,12467.0,2019_4
2019,4,구로구,서울 구로구 가마산로 27길 45 구로고등학교,11170,120063.0,6321.0,15875.0,364.0,17653.0,2019_4
2019,4,금천구,서울 금천구 금하로21길 20 시흥5동 주민센터,11180,69394.0,4396.0,11487.0,159.0,13498.0,2019_4
2019,4,남산,서울 용산구 남산공원길 103 (서울타워 별관 2층),11030,67443.0,2521.0,16058.0,134.0,7042.0,2019_4
2019,4,노원구,서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소),11110,133610.0,5686.0,14852.0,349.0,13452.0,2019_4
2019,4,도봉구,서울 도봉구 시루봉로2길 34 쌍문동청소년문화의집,11100,82006.0,3860.0,14695.0,230.0,10998.0,2019_4
2019,4,도산대로,서울 강남구 도산대로 104 신사역2번출구 앞,11230,211376.0,6201.0,16772.0,400.0,16349.0,2019_4
2019,4,동대문구,서울 동대문구 천호대로13길 43 용두초등학교,11060,81016.0,3821.0,23629.0,172.0,13025.0,2019_4
2019,4,동작구,서울 동작구 사당로16아길 6 사당4동 주민센터,11200,93624.0,3367.0,15075.0,381.0,8882.0,2019_4
2019,4,동작대로,서울 동작구 사당2동 739 이수역 북단 버스중앙차로,11200,93624.0,3367.0,15075.0,381.0,8882.0,2019_4
2019,4,마포구,서울 마포구 포은로 6길 10 망원1동주민센터 옥상,11140,100997.0,4287.0,17062.0,245.0,12136.0,2019_4
2019,4,북한산,서울 강북구 삼양로 181길 387 (우이령 전경대 위),11090,63461.0,3943.0,21736.0,160.0,9285.0,2019_4
2019,4,서대문구,서울 서대문구 세검정로4길 32 (홍제3동 주민센터) ,11130,75273.0,3406.0,14919.0,315.0,8627.0,2019_4
2019,4,서초구,서울 서초구 신반포로15길 16 반포 2동 주민센터,11220,159708.0,5089.0,12750.0,348.0,17027.0,2019_4
2019,4,성동구,서울 성동구 뚝섬로3길 18 성수1가1동주민센터,11040,89505.0,4600.0,20443.0,180.0,11136.0,2019_4
2019,4,성북구,서울 성북구 삼양로2길 70 길음2동 주민센터,11080,101303.0,5206.0,26295.0,166.0,11092.0,2019_4
2019,4,세곡,서울 강남구 밤고개로 337 (세곡사거리),11230,211376.0,6201.0,16772.0,400.0,16349.0,2019_4
2019,4,송파구,서울 송파구 백제고분로 236 삼전동 주민센터 (삼전동),11240,206538.0,7247.0,19953.0,410.0,26773.0,2019_4
2019,4,시흥대로,서울 금천구 독산동 996-9 한양수자인아파트 앞,11180,69394.0,4396.0,11487.0,159.0,13498.0,2019_4
2019,4,신촌로,서울 마포구 노고산동 57-62 (신촌역 7번 출구),11140,100997.0,4287.0,17062.0,245.0,12136.0,2019_4
2019,4,양천구,서울 양천구 중앙로52길 56 신정4동 문화센터,11150,128997.0,5167.0,18631.0,556.0,15609.0,2019_4
2019,4,영등포구,서울 영등포구 당산로 123 영등포구청 (당산동3가),11190,116679.0,5306.0,16336.0,1178.0,19570.0,2019_4
2019,4,영등포로,서울 영등포구 영중로 37 (영등포시장사거리),11190,116679.0,5306.0,16336.0,1178.0,19570.0,2019_4
2019,4,용산구,서울 용산구 이태원로 224-19 (한남동) 한남로 복합문화센터,11030,67443.0,2521.0,16058.0,134.0,7042.0,2019_4
2019,4,은평구,서울 은평구 진흥로 215 (한국환경산업기술원 온실동2층 ),11120,111583.0,5270.0,20943.0,264.0,13369.0,2019_4
2019,4,정릉로,서울 성북구 돈암동 8-164번지 ,11080,101303.0,5206.0,26295.0,166.0,11092.0,2019_4
2019,4,종로,서울 종로구 종로 169 (종묘주차장 앞),11010,40882.0,3855.0,13112.0,184.0,5265.0,2019_4
2019,4,종로구,"서울 종로구 종로35가길 19 종로5,6가 동 주민센터",11010,40882.0,3855.0,13112.0,184.0,5265.0,2019_4
2019,4,중구,서울 중구 덕수궁길 15 시청서소문별관 3동,11020,40985.0,3322.0,14642.0,221.0,7175.0,2019_4
2019,4,중랑구,서울 중랑구 용마산로 369 건강가정지원센터,11070,92912.0,4817.0,24168.0,411.0,15444.0,2019_4
2019,4,천호대로,서울 강동구 천호대로 1151 길동사거리 강동성모요양병원 앞),11250,114561.0,4739.0,16335.0,295.0,15423.0,2019_4
2019,4,청계천로,서울 중구 청계천로 184 (청계천4가사거리 남강빌딩 앞),11020,40985.0,3322.0,14642.0,221.0,7175.0,2019_4
2019,4,한강대로,서울 용산구 한강대로 405 (서울역 앞),11030,67443.0,2521.0,16058.0,134.0,7042.0,2019_4
2019,4,행주,김포시 고촌읍 은행영사정로 197 (신곡수중보 관리사무소),31230,0.0,0.0,0.0,0.0,0.0,2019_4
2019,4,홍릉로,서울 동대문구 홍릉로 1 (청량리전철역 사거리 SC제일은행 앞),11060,81016.0,3821.0,23629.0,172.0,13025.0,2019_4
2019,4,화랑로,서울 노원구 화랑로 429 태능입구역 8번 출구,11110,133610.0,5686.0,14852.0,349.0,13452.0,2019_4
2019,5,강남구,서울 강남구 학동로 426 강남구청 별관 1동,11230,211447.0,6079.0,16872.0,401.0,16286.0,2019_5
2019,5,강남대로,서울 서초구 강남대로 201 서초구민회관 앞 중앙차로 (양재동),11220,159199.0,5063.0,12687.0,351.0,16995.0,2019_5
2019,5,강동구,서울 강동구 구천면로 42길 59 천호1동 주민센터,11250,114621.0,4706.0,16335.0,292.0,15411.0,2019_5
2019,5,강변북로,서울 성동구 강변북로 257 한강사업본부 옆,11040,89466.0,4558.0,20424.0,181.0,11143.0,2019_5
2019,5,강북구,서울 강북구 삼양로 139길 49 우이동 주민센터,11090,63357.0,3924.0,21832.0,163.0,9249.0,2019_5
2019,5,강서구,서울 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관,11160,174134.0,7646.0,18680.0,417.0,21503.0,2019_5
2019,5,공항대로,서울 강서구 마곡동 727-1091 마곡역 중앙차로정류장 옆,11160,174134.0,7646.0,18680.0,417.0,21503.0,2019_5
2019,5,관악구,서울 관악구 신림동길 14 신림동 주민센터,11210,103146.0,4716.0,24439.0,260.0,12603.0,2019_5
2019,5,관악산,과천시 자하동길 64 (관악산 중계소),31110,0.0,0.0,0.0,0.0,0.0,2019_5
2019,5,광진구,서울 광진구 광나루로 571 구의 아리수정수센터,11050,83472.0,3415.0,18274.0,280.0,12420.0,2019_5
2019,5,구로구,서울 구로구 가마산로 27길 45 구로고등학교,11170,119758.0,6266.0,15943.0,365.0,17563.0,2019_5
2019,5,금천구,서울 금천구 금하로21길 20 시흥5동 주민센터,11180,69388.0,4352.0,11511.0,161.0,13446.0,2019_5
2019,5,남산,서울 용산구 남산공원길 103 (서울타워 별관 2층),11030,67411.0,2499.0,16043.0,134.0,7000.0,2019_5
2019,5,노원구,서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소),11110,133458.0,5639.0,14906.0,344.0,13434.0,2019_5
2019,5,도봉구,서울 도봉구 시루봉로2길 34 쌍문동청소년문화의집,11100,82019.0,3872.0,14727.0,231.0,10998.0,2019_5
2019,5,도산대로,서울 강남구 도산대로 104 신사역2번출구 앞,11230,211447.0,6079.0,16872.0,401.0,16286.0,2019_5
2019,5,동대문구,서울 동대문구 천호대로13길 43 용두초등학교,11060,81011.0,3804.0,23667.0,173.0,12992.0,2019_5
2019,5,동작구,서울 동작구 사당로16아길 6 사당4동 주민센터,11200,93590.0,3334.0,15106.0,380.0,8856.0,2019_5
2019,5,동작대로,서울 동작구 사당2동 739 이수역 북단 버스중앙차로,11200,93590.0,3334.0,15106.0,380.0,8856.0,2019_5
