year,month,location,address,pop_men<10s,pop_men10s,pop_men20s,pop_men30s,pop_men40s,pop_men50s,pop_men60s,pop_men>70s,pop_women<10s,pop_women10s,pop_women20s,pop_women30s,pop_women40s,pop_women50s,pop_women60s,pop_women>70s
2019,3,강동구,서울 강동구 구천면로 42길 59 천호1동 주민센터,1101.43198,580.7536675,702.532174,896.5148352,1030.538935,944.7012068,905.3211237,1265.789257,960.832863,496.7200609,780.6187641,958.348789,1044.471101,1057.588139,1152.394015,1877.598061
2019,3,강변북로,서울 성동구 강변북로 257 한강사업본부 옆,696.4391368,300.1705224,970.4722865,874.2502398,799.2777666,679.9768298,588.2339167,820.8402972,643.8981226,287.084744,1125.561678,915.2710915,718.1683983,673.1104567,722.7742484,1389.133419
2019,3,강북구,서울 강북구 삼양로 139길 49 우이동 주민센터,784.195735,432.4137831,746.4198854,755.4205203,875.8952665,858.7235164,783.2189993,1463.338109,722.5812462,396.7558643,999.2123484,766.0036583,867.0446529,989.7634161,1025.030382,2421.166444
2019,3,강서구,서울 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관,1119.966773,505.3534777,732.5463826,1183.071062,1140.470646,891.3979085,841.8031976,1246.369041,1114.667588,490.8476566,914.8228655,1283.201125,1109.790629,970.7002374,1089.501376,1950.594593
2019,3,공항대로,서울 강서구 마곡동 727-1091 마곡역 중앙차로정류장 옆,1119.966773,505.3534777,732.5463826,1183.071062,1140.470646,891.3979085,841.8031976,1246.369041,1114.667588,490.8476566,914.8228655,1283.201125,1109.790629,970.7002374,1089.501376,1950.594593
2019,3,관악구,서울 관악구 신림동길 14 신림동 주민센터,644.1102791,319.9506458,1148.146914,1428.147552,970.4041175,740.3886492,651.7123387,1111.589074,651.4374716,317.1461109,1448.91856,1196.671402,827.0785306,786.4769598,842.1006513,1642.146679
2019,3,관악산,과천시 자하동길 64 (관악산 중계소),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,3,광진구,서울 광진구 광나루로 571 구의 아리수정수센터,873.5709194,470.8546325,897.6965757,1046.520896,957.0609103,929.9139617,779.055943,1120.848177,839.6222108,463.4295774,1113.178263,1105.520762,992.0511434,999.4703422,960.9427841,1714.894336
2019,3,구로구,서울 구로구 가마산로 27길 45 구로고등학교,973.8641996,431.7726361,704.6986301,1123.917474,1176.452497,948.575328,858.9595942,1195.190249,905.1775723,395.6545439,827.3192822,1063.27771,987.5964718,939.5817108,1009.919194,1719.535612
2019,3,금천구,서울 금천구 금하로21길 20 시흥5동 주민센터,610.6947123,295.9362832,529.0741287,826.1405423,785.7938639,732.1149474,693.0950635,904.7311706,620.5076071,310.7851861,572.4083203,764.550799,681.65656,787.2546377,823.5734468,1372.400246
2019,3,남산,서울 용산구 남산공원길 103 (서울타워 별관 2층),468.5790891,231.801306,564.4923655,793.4416683,715.1937996,556.8613925,462.44455,716.6839409,481.7769087,237.1668766,687.7029645,792.2787522,654.4920321,519.0178169,543.5883782,1229.906908
2019,3,노원구,서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소),1099.664848,731.5424854,1037.61101,800.3956443,1012.212475,1069.779229,931.3535937,1312.277914,1038.911062,678.6958925,1123.457503,900.2293788,1135.019477,1225.339513,1160.196296,2372.957764
